0,1,2,3,4,5,6,7,8,9,10,11,id
31.57,36.17,45.75,56.59,65.75,74.89,79.78,78.71,70.64,59.07,45.49,34.78,1409
34.53,37.58,47.1,57.37,66.47,74.85,78.36,77.02,70.51,58.88,46.84,37.51,1501
33.95,36.74,45.91,55.98,65.03,73.2,76.66,75.45,69.23,57.51,45.95,36.93,1502
31.86,34.5,43.63,54.01,63.65,71.84,75.56,74.17,67.93,56.12,44.35,35.06,1503
33.96,36.65,45.16,54.81,63.72,71.36,74.83,73.67,67.78,56.18,45.02,36.53,1504
45.74,49.14,56.64,64.49,72.25,79.36,82.3,81.99,76.42,65.68,54.75,47.39,1601
45.4,48.79,56.35,64.19,71.82,78.82,81.55,81.18,75.75,65.08,54.39,47.1,1602
45.94,49.29,56.88,64.77,72.47,79.36,81.78,81.3,76.08,65.42,54.99,47.78,1603
47.95,51.16,58.19,65.59,72.88,79.34,81.78,81.6,76.61,66.43,56.25,49.42,1604
48.99,52.21,59.31,66.57,73.8,80.09,82.11,81.87,77.27,67.27,57.31,50.6,1605
50.35,53.24,59.91,66.68,73.72,79.73,81.45,81.19,77.3,67.75,58.09,51.88,1606
51.55,54.44,60.97,67.86,74.79,80.66,82.4,82.23,78.35,69.34,59.71,53.25,1607
52.2,54.98,61.34,68.05,74.87,80.44,81.96,81.79,78.27,69.29,59.95,53.85,1608
53.46,55.96,61.87,68.35,75.11,80.64,82.06,82.01,78.89,70.33,61.17,55.17,1609
10.17,12.2,23.06,36.43,49.32,58.79,64.16,61.8,53.59,42.63,30.15,16.21,1701
16.29,18.22,28.59,40.73,52.44,61.47,67.16,65.15,57.07,46.35,34.72,21.82,1702
20.16,21.39,30.74,41.44,51.96,60.66,66.62,65.15,57.92,47.81,37.05,25.22,1703
35.87,36.73,44.32,53.53,63.29,71.83,76.62,75.21,69.23,58.48,47.92,39,1801
34.47,35.69,44.04,53.76,63.71,72.25,76.84,75.02,68.73,57.6,46.93,37.64,1802
34.91,36.31,44.86,54.52,64.25,72.7,77.07,75.37,69.15,57.96,47.11,38.01,1803
33.95,35.44,44.09,54.04,63.98,72.41,76.81,75,68.64,57.24,46.4,37.1,1804
33.2,34.46,43.23,53.21,63.27,71.88,76.46,74.65,68.26,56.95,46.02,36.58,1805
31.11,32.6,41.56,51.84,62.12,70.47,74.98,73.02,66.51,55.11,44.03,34.41,1806
29.69,31.62,40.47,51.04,61.25,69.41,73.62,71.74,65.15,53.65,42.54,32.86,1807
25.91,27.53,36.07,46.5,56.63,64.27,67.97,66.32,60.3,49.4,38.59,29.19,1808
20.86,22.07,31.32,43.21,54.71,62.85,67.81,65.65,58.62,47.86,36.8,25.34,1901
23.54,24.88,34.16,45.37,56.52,65.09,70.43,68.21,60.77,49.94,39.06,27.92,1902
28.05,28.55,36.28,45.61,55.84,64.74,70.7,69.02,62.26,52.24,42.23,32.25,1903
11.82,13.57,23.83,37.89,50.41,59.85,64.91,62.77,55.01,43.89,29.71,17.41,2001
15.32,15.51,24.56,37.98,49.86,59.4,64.82,63.35,55.92,45.09,32.45,21.17,2002
18.6,18.42,27.65,40.88,52.42,62.22,67.08,65.04,57.87,46.91,34.52,23.79,2003
17.42,17.53,27.12,40.67,52.42,62.28,67.02,64.77,57.5,46.44,34.02,22.91,2004
20.99,21.45,30.76,43.47,54.76,64.17,68.83,66.86,59.64,48.47,36.4,25.88,2005
19.75,20.36,30.3,43.56,55.22,64.9,69.28,66.89,59.49,48.04,35.63,24.8,2006
20.85,21.5,31.22,43.84,55.25,65.15,69.78,67.67,60.77,49.25,37.05,26.08,2007
23.11,24.22,34.1,46.26,57.47,67.06,71.42,69.42,62.4,50.92,38.45,27.7,2008
